traffic_flow,share,speed,GRU_attention_traffic_flow_pred,GRU_attention_share_pred,GRU_attention_speed_pred
185.0,0.0228,69.0,204.282470703125,0.03080257959663868,68.36103057861328
230.0,0.030100000000000002,68.2,201.23057556152344,0.030357658863067627,68.3011245727539
231.0,0.0291,68.4,218.80828857421875,0.032847415655851364,68.27298736572266
269.0,0.0345,68.7,228.8906707763672,0.034241724759340286,68.21195220947266
278.0,0.0346,69.1,254.10995483398438,0.03749329596757889,68.2496337890625
291.0,0.0381,68.6,272.5330505371094,0.039643920958042145,68.29664611816406
295.0,0.0377,68.7,291.4488525390625,0.04204019159078598,68.2179946899414
258.0,0.0573,61.0,302.7742919921875,0.04333651438355446,68.1677474975586
270.0,0.0354,63.5,320.4213562011719,0.0515143908560276,65.54153442382812
281.0,0.0379,64.8,298.550048828125,0.04886878654360771,65.09114837646484
287.0,0.0357,66.8,292.1000061035156,0.04775039851665497,65.02471923828125
251.0,0.0324,68.5,289.90362548828125,0.04622277244925499,65.46053314208984
353.0,0.0471,67.3,276.6625061035156,0.04304901883006096,65.9935302734375
284.0,0.0369,68.3,321.9443359375,0.04859576001763344,66.33999633789062
279.0,0.037000000000000005,67.7,312.238525390625,0.04619688540697098,66.69463348388672
294.0,0.0426,66.1,303.2930908203125,0.04473963379859924,66.7461929321289
408.0,0.0551,66.8,307.49517822265625,0.04604969173669815,66.39266967773438
361.0,0.0481,67.1,365.1914367675781,0.053499478846788406,66.49031829833984
348.0,0.0456,67.6,371.68292236328125,0.053522951900959015,66.6836166381836
304.0,0.0398,67.5,367.2144470214844,0.05213703215122223,66.92459106445312
382.0,0.0535,66.4,345.64056396484375,0.048875581473112106,67.00399780273438
345.0,0.0469,66.2,370.5932922363281,0.05318896099925041,66.64532470703125
303.0,0.0401,66.8,365.3783874511719,0.052654929459095,66.4818344116211
359.0,0.0499,66.4,342.6133117675781,0.04907205328345299,66.58170318603516
329.0,0.043,67.9,355.1275939941406,0.05127435550093651,66.42341613769531
384.0,0.0519,67.4,346.3872375488281,0.049066606909036636,66.80191040039062
370.0,0.0498,67.7,367.6181640625,0.05199602246284485,66.8464584350586
368.0,0.0497,67.6,372.59844970703125,0.05223333090543747,67.00056457519531
350.0,0.0474,68.3,374.113525390625,0.052219685167074203,67.06830596923828
337.0,0.044000000000000004,68.7,367.5683288574219,0.050646375864744186,67.3226547241211
352.0,0.0457,68.5,356.84088134765625,0.04850761592388153,67.58575439453125
312.0,0.0412,68.3,356.4822998046875,0.0483177974820137,67.67060089111328
335.0,0.0435,68.8,341.0546569824219,0.04596696048974991,67.71876525878906
334.0,0.0662,60.9,340.16253662109375,0.04566359147429466,67.83885192871094
311.0,0.0469,62.9,367.4033203125,0.05653643608093262,64.91492462158203
335.0,0.0434,66.8,344.9644470214844,0.05340993031859398,64.63036346435547
