traffic_flow,share,speed,GRU_dual_stage_attention_traffic_flow_pred,GRU_dual_stage_attention_share_pred,GRU_dual_stage_attention_speed_pred
185.0,0.0228,69.0,211.47567749023438,0.029393106698989868,68.318359375
230.0,0.030100000000000002,68.2,210.20240783691406,0.02901901863515377,68.43221282958984
231.0,0.0291,68.4,223.8552703857422,0.030791813507676125,68.35221099853516
269.0,0.0345,68.7,230.29327392578125,0.03133969381451607,68.40036010742188
278.0,0.0346,69.1,244.83485412597656,0.0336434580385685,68.28093719482422
291.0,0.0381,68.6,257.5018310546875,0.03577835112810135,68.15384674072266
295.0,0.0377,68.7,272.9968566894531,0.037490662187337875,68.19727325439453
258.0,0.0573,61.0,285.7476501464844,0.039806753396987915,68.00227355957031
270.0,0.0354,63.5,306.95941162109375,0.045290812849998474,65.48348236083984
281.0,0.0379,64.8,306.5987243652344,0.04493778944015503,65.68077087402344
287.0,0.0357,66.8,308.0273132324219,0.04621988534927368,65.66356658935547
251.0,0.0324,68.5,310.1724548339844,0.046252839267253876,66.31671905517578
353.0,0.0471,67.3,302.28662109375,0.044151727110147476,67.07719421386719
284.0,0.0369,68.3,334.45770263671875,0.048543788492679596,67.26097106933594
279.0,0.037000000000000005,67.7,328.864990234375,0.046594634652137756,67.89060974121094
294.0,0.0426,66.1,327.7171630859375,0.04527953639626503,68.15992736816406
408.0,0.0551,66.8,337.8271789550781,0.04791731759905815,67.70649719238281
361.0,0.0481,67.1,379.5457763671875,0.05540677160024643,67.56106567382812
348.0,0.0456,67.6,385.86016845703125,0.05536961928009987,67.92739868164062
304.0,0.0398,67.5,377.37158203125,0.05400390177965164,68.0648193359375
382.0,0.0535,66.4,358.9656066894531,0.052122462540864944,67.7693099975586
345.0,0.0469,66.2,380.9051818847656,0.05528809875249863,67.96697235107422
303.0,0.0401,66.8,371.38238525390625,0.053364530205726624,67.96541595458984
359.0,0.0499,66.4,354.78741455078125,0.05101337283849716,67.41535949707031
329.0,0.043,67.9,364.9029235839844,0.05268630385398865,67.40093994140625
384.0,0.0519,67.4,354.9971008300781,0.05153335630893707,67.00338745117188
370.0,0.0498,67.7,364.59002685546875,0.05319175869226456,66.9255599975586
368.0,0.0497,67.6,362.7210693359375,0.05329106003046036,66.71772766113281
350.0,0.0474,68.3,365.70440673828125,0.053866878151893616,66.58181762695312
337.0,0.044000000000000004,68.7,357.9020080566406,0.052850913256406784,66.41350555419922
352.0,0.0457,68.5,349.2908935546875,0.050990570336580276,66.48479461669922
312.0,0.0412,68.3,348.4691162109375,0.050440311431884766,66.5225601196289
335.0,0.0435,68.8,336.85308837890625,0.04848126322031021,66.64596557617188
334.0,0.0662,60.9,335.1556701660156,0.047365911304950714,66.83821105957031
311.0,0.0469,62.9,359.3787841796875,0.05288708955049515,63.95052719116211
335.0,0.0434,66.8,338.51873779296875,0.050114769488573074,64.31971740722656
273.0,0.0362,67.4,330.276123046875,0.04788241162896156,65.40616607666016
295.0,0.0389,68.1,312.67950439453125,0.0454145222902298,66.04251861572266
273.0,0.0355,68.6,310.3444519042969,0.04429077357053757,66.38524627685547
326.0,0.0437,68.5,299.29278564453125,0.04249846562743187,66.7664794921875
295.0,0.0385,69.0,310.0118408203125,0.04354609549045563,66.82211303710938
375.0,0.0497,68.8,305.5213623046875,0.0424017608165741,67.05480194091797
